Prompt,Response
How can I choose data based on gender?,"To filter data by sex, click on the fingerprint icon at the top right-hand side of the page. You can then choose from options like male, female, or all."
How do I choose data by age group?,"To filter data by age groups, click on the fingerprint icon located at the top right-hand side of the page. From there, you can adjust the age groups from 0 to 24."
How can I filter data by date?,"To filter data by date, go to the top right-hand side of the page and click on the calendar symbol, which allows you to choose the collection year."
"How do I select a region using SA2, SA3, or SA4 areas?","To filter data by statistical areas, click on the map symbol at the top right-hand side of the page. This lets you choose between SA2, SA3, and SA4. If you want to know what these areas stand for, feel free to ask!"
Is there a video guide that shows how to use the Atlas?,"Yes, you can find the video guide and other resources at htpps://australianchildatlas.com/acywa-resources."
Where can I find the meaning of themes instead of the data?,"On the home page, check the 'Indicators' section, which contains all the themes. If you need definitions and explanations of what these themes mean (rather than finding the data), visit htpps://australianchildatlas.com/themes where you’ll find detailed descriptions."
How do I select a specific region?,"To select a region, click on the map and choose the specific region you are looking for."
Where can I find data on family assault offences?,"Start by selecting the 'Valued, loved and safe' category. Then click on 'Assault offences (WA only)' and choose 'Assault (Family) offences (rate per 10,000).'"
How do I check the rate of family assault offenders?,"Start by going to the themes section. Then, go to the 'Valued, loved and safe' category, select 'Assault offences (WA only),' and choose 'Assault (Family) offenders (rate per 10,000)"
Where can I see the total number of assault offence?,"Start by going to the themes section. Then select the 'Valued, loved and safe' category, click on 'Assault offences (WA only),' and choose 'Total offences (rate per 10,000)."
How do I find information on non-family assault offences?,"Start by going to the themes section. Navigate to the 'Valued, loved and safe' category, select 'Assault offences (WA only),' and then choose 'Assault (Non-Family) offences (rate per 10,000)."
Where can I check the number of children placed in out-of-home care?,"Start by going to the themes section. Then select the 'Valued, loved and safe' category, click on 'Child protection,' and choose 'Children admitted to out of home care (N).'"
How do I find the rate of children leaving out-of-home care?,"Start by going to the themes section. Then go to the 'Valued, loved and safe' category, select 'Child protection,' and choose 'Children discharged from out of home care (rate per 1,000)"
Where can I check the number of care and protection orders?,"Start by going to the themes section. Then select the 'Valued, loved and safe' category, click on 'Child protection,' and choose 'Care and protection orders (N)."
How do I check how many students have been harmed on purpose?,"Start by going to the themes section. Then go to the 'Valued, loved and safe' category, select 'Safe environments,' click on 'Experiences of violence (Speaking Out Survey WA),' and choose 'Students reporting having been physically harmed on purpose."
Where can I find data on physical bullying in Queensland?,"
Start by going to the themes section. Then select the 'Valued, loved and safe' category, click on 'Safe environments,' choose 'Safe community environments (Growing Up in Queensland),' and select 'Experienced physical bullying (%)."
How do I see how many young people feel safe in their community?,"Start by going to the themes section. Then go to the 'Valued, loved and safe' category, select 'Safe environments,' click on 'Safe community environments (Growing Up in Queensland),' and choose 'Feel safe in their community (%)"
How do I find information on young people under community-based supervision?,"
Start by going to the themes section. Then go to the 'Valued, loved and safe' category, select 'Youth justice,' and choose 'Young people under community-based supervision - average day (N)"
How can I check the number of people registered to vote?,"Start by going to the themes section. Then go to the 'Participation' category, select 'Voting enrolment,' and choose 'Number enrolled (N)"
How do I find data on people living in tents or makeshift shelters?,"Start by going to the themes section. Then go to the 'Material basics' category, select 'Housing amenity,' click on 'Homelessness,' and choose 'Living in improvised dwellings, tents, or sleeping out (%)"
Where can I check the youth unemployment rate for full-time work?,"Start by going to the themes section. Then select the 'Material basics' category, click on 'Youth unemployment,' and choose 'Unemployed and seeking full-time work (%)."
How can I check why people seek help from homeless services due to money problems?,"
Start by going to the themes section. Then go to the 'Material basics' category, select 'Housing amenity,' click on 'Specialist Homelessness Services - Main reason for seeking assistance,' and choose 'Financial (N)."
